id,risk_1,legal_basis_1,risk_2,legal_basis_2
1,없음,없음,없음,없음
2,없음,없음,없음,없음
3,없음,없음,없음,없음
4,Incoterms Misuse (FOB for Air),Incoterms 2020 (FOB A2/A9),Cost Allocation (Warehouse fees to Buyer),Incoterms 2020 Cost Allocation
5,CISG Reservation Country (Argentina),CISG Art 12/96,Legal Ambiguity (Local law priority),CISG/Local Law Conflict
6,UCP 600 Strict Compliance (Unsigned Invoice),UCP 600 Art 18,Currency Mixture (EUR vs USD),UCP 600 Art 18 (Currency Consistency)
7,Description Discrepancy (Detail vs General),UCP 600 Art 18 (c),Weight Error (Gross < Net),UCP 600 Art 14 (Data Consistency)
8,Narrow Force Majeure scope,CISG Art 79,Unfair Termination Rights,UNIDROIT Art 7.1.7
9,IP Warranty Disclaimer,CISG Art 42,Missing Confidentiality Clause,Trade Secret Protection
10,Missing ROT (Reservation of Title) Clause,SGA Art 19,Interest Rate Conflict (6% vs 2%),Commercial Law Art 54
11,Missing Inspection Period,CISG Art 38,Excessive Notice Deadline (48h),CISG Art 39
12,Partial Shipment Prohibition Violation,UCP 600 Art 31,Vessel Age Restriction Violation,Institute Cargo Clauses (ICC)
13,Insufficient Insurance Coverage (ICC A vs C),UCP 600 Art 28,Wrong Insurance Beneficiary,UCP 600 Art 28
14,Foreign Trade Act Violation (Strategic Goods),Foreign Trade Act Art 19,Origin Misidentification (Korea vs S.Korea),Foreign Trade Act Art 33
15,Foreign Exchange Act Violation (Set-off),Foreign Exchange Act Art 16,Bank Fee SHA Clause Violation,UCP 600 Art 37
16,Liability Cap Setting (10%),Adhesion Contract Act Art 7,Warranty Period Conflict (1y vs 90d),UCTA (Reasonableness Test)
17,Arbitration Seat-Institution Mismatch,Arbitration Act Art 21,Missing Authorized Signatory,UNIDROIT Art 2.2.5
18,CISG Exclusion Error (Implicit),CISG Art 1/6,Unconditional Exemption for Delay,CISG Art 79 (Exemption)
19,Stale Documents (Over 21 days),UCP 600 Art 14 (c),Shipping Mark Discrepancy,UCP 600 Art 14
20,Double Insurance (Overlap),Commercial Law Art 672,Insurance Amount Deficiency (110% req),UCP 600 Art 28
21,준거법 미지정 (Silence on Governing Law),CISG Art. 1 / PIL Act,국제사법에 의한 불예측한 법 적용,Hague Convention 1955
22,재판관할권 미합의 (No Jurisdiction Clause),Civil Procedure Act,피고 소재지 원격 소송 비용 발생,Brussels I Regulation
23,전략물자 무허가 수출 합의,대외무역법 제19조,수출 통제 위반에 따른 계약 무효,대외무역법 제29조
24,소멸시효 단축 특약 (6개월 미만),상법 제64조,강행규정 위반으로 인한 조항 무효,민법 제184조
25,수입 원산지 표시 의무 면제 조항,대외무역법 제33조,세관 통관 불허 및 형사 처벌 리스크,대외무역법 제53조
26,비거주자 간 채권 상계 미신고,외국환거래법 제16조,외환 당국 보고 의무 위반 과태료,외국환거래규정 제5-4조
27,부당한 판매가격 유지 강제 (Vertical),공정거래법 제46조,독점규제법 위반에 따른 과징금,공정거래법 제125조
28,매도인의 손해배상책임 전면 면책,약관법 제7조,고객에게 부당하게 불리한 조항 무효,CISG Art. 4
29,DDP 조건임에도 매수인에게 수입관세 전가,Incoterms 2020 (DDP),계약 내용과 인코텀즈 정의의 정면 충돌,계약 우선 원칙 (Precedence)
30,물품 검사 기간의 극단적 단축 (24시간),CISG Art. 38,잠재적 하자 발견권의 실질적 박탈,CISG Art. 39
